Account,Type,Date,Views,Likes,Comments,Caption,Hashtags,URL
sakinakaradesign,Photo,26 Feb 2026,,-1,0,"Study RoCA.  Exploring simple volumes to organise space instead of walls. Influenced by the modular work of Donald Judd and the structured grids of Sol LeWitt.  Three cubes. Three functions. Three materials.  A project in development.   #interiordesigndubai #dubaidesign #uaedesign #hospitalitydesign#interiordesign","#interiordesigndubai #dubaidesign #uaedesign #hospitalitydesign #interiordesign",https://www.instagram.com/p/DVOPqBCCMkd/
sakinakaradesign,Photo,05 Aug 2024,,62,2,"A few snaps from my recent trip to Budapest 🌎 ➡️  I find that my most memorable trips are always those in Europe and South East Asia - I just love cities that are walkable. Somewhere where you can pop your comfy shoes on in the morning and head out for the day to explore all there is to see and discover 👟  I loved this about Budapest, and personally, there is no better way of discovering the history of a city through its art architecture and Budapest was no exception. There are incredibly grand gothic cathedrals and buildings that heavily influenced by a detailed baroque style. On the more modern side, the museum of ethnogrophy blew me away,  dynamic sloped lines decorated with greenery and beautiful landscaping.   In terms of art, i loved the painting of the lounging ladies, a little aspirational perhaps 😏 and the second painting I was so taken by the colours and lines - there is something so serene about that sky, and a welcome antidote from heavy artwork depicting war and gruesomeness!","",https://www.instagram.com/p/C-RdWrEP0Pu/
sakinakaradesign,Photo,16 Jul 2024,,40,1,"✨ Design Tip ✨ ✨ choosing the right materials ✨  Designing a space that will last goes beyond just selecting beautiful materials—it's thinking about understanding how these materials will evolve over time to have your space age beautifully!   Every material ages differently, and this natural transformation can have a real impact the long-term look and feel of your space.   For instance, leather, natural wood and brass develop a patina, developing a character and warmth over time. Imagine a leather chair that gets better with age, or wooden floors in older homes that tell a story of a home over the years.   On the flip side, you need to be more careful when selecting things like some plastics, fabrics, even painted wood - they might show wear and tear more noticeably detracting from the original aesthetic.   These materials might require more frequent replacement or maintenance to keep them from looking old and tired!   A lil' something to keep in mind when deciding which pieces to splash out on 💸💰  If you're renovating or choosing items and materials for your space and would like to discuss your choices, book a 2-hour personalised online design session with me via the website to get some insight and support into the right choices for you and your space ! ✨✨","#interiordesign #commercialdesign #residentialdesign #interiordesignbusiness #interiorinspiration #londondesign #londoninteriors #dubaiinteriordesign #dubaiinteriors #sakinakaradesign",https://www.instagram.com/p/C9d9dvdJTFm/
sakinakaradesign,Photo,20 Apr 2026,,-1,1,"𝐌𝐚𝐭𝐞𝐫𝐢𝐚𝐥 Clay  A study in how material defines form; from ground to object.  I love the variation and possibility of clay, what begins as as something so unassuming becomes a thing of beauty.  Mud volcanoes in Azerbaijan.","#interiordesigndubai #dubaidesign #uaedesign #hospitalitydesign #interiordesign #clay #designinspo",https://www.instagram.com/p/DXWiEziiH-E/
sakinakaradesign,Photo,10 Sept 2024,,78,7,"✨ Sneak Peek ✨  Just a little glimpse into something we've been quietly working on behind the scenes! Any guesses on where this could be? I'm excited to reveal more soon... Stay tuned, there’s more to come!","#Sakinakaradesign #ComingSoon #SneakPeek #DubaiDesign #CafeDesign #InteriorDesign #DesignInspiration #UAEProjects #CreativeSpaces",https://www.instagram.com/p/C_uLOXMRJdg/
sakinakaradesign,Photo,23 Jul 2024,,53,4,"Details are everything in design! 🌟  ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Of course the bigger elements like walls and furniture are important but it is ever so important to consider those smaller details, for me that is often where you find the little pieces of magic in design 🪄 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Often overlooked, simple things like handles and switches (just think how many times you’ve touched a handle or switch today.. i’ll wait 😏) can elevate a space and add sparks of joy!  ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Swipe through to see some of the details I’ve used across and designed across various projects.  ⠀⠀⠀⠀⠀⠀⠀⠀⠀ If it’s time for you to upgrade your door handles, comment with a 🚪 and I’ll DM you with some of my favourite places to find those gorgeous details for your space ✨","#InteriorDesign #LuxuryInteriors #DubaiInteriors #LondonInteriors #HomeDecor #ResidentialDesign #ModernLiving #InteriorStyling #designdetails #sakinakaradesign",https://www.instagram.com/p/C9wCvZoJhjK/
sakinakaradesign,Photo,18 Feb 2025,,69,6,"✨ A dialogue between texture, materiality and contrast ✨  I’m always drawn to creating spaces that have a push and pull - a tension of sorts - something raw, set against something refined, something soft meeting something industrial.   For The Matcha Tokyo, Al Khawaneej, that tension takes the form of the play between beautifully hand crafted plaster art against a cool, industrial steel.   Excited to see this one take shape 🌱","#sakinakaradesign #dubaidesign #cafedesign #dubaicafe #interiorddesign #uaeprojects #thematchatokyo #matchalover #alkhawaneej #uaedesign #abudhabidesign",https://www.instagram.com/p/DGNJ4xYpqpx/
sakinakaradesign,Photo,26 Aug 2024,,64,5,"As I browsed through my latest photos and saved inspirations, a clear theme emerged—fluidity, transparency, and metallics. It's fascinating to me how certain elements quietly influence and inform the creative process.   For instance, the liquid metal finish I'm using in a current project clearly reflects my recent obsessions!  Swipe to see what's been sparking my creativity lately:  1. Obsessed with these wall sconces by @charlesburnand. 2. This stunning transparent store design by @studioanneholtrop for jeweller @charlottechesnais in Paris is a dream. 3. The texture, movement, and colour tones of this beach from my recent trip to Salalah really blew me away. 4. The Eroded collection by @threefouronestudio is beyond beautiful. Dreaming of that shelf unit!   Inspiration is everywhere—what’s been catching your eye lately? Drop a comment and share your thoughts!","#dubaidesign #designinspiration #salalah #interiordesign #UAEDesign #interiorinspiration #furnituredesign #lightingdesign #moderninteriors #designinspo #luxuryonteriors",https://www.instagram.com/p/C_HjxyTxHeZ/
sakinakaradesign,Photo,27 May 2025,,128,36,"The original concept design for The Matcha Tokyo in Al Khawaneej.  From the very first sketch, I wanted the space to feel calm and grounded—with a lightness to it, almost as if it were floating. Soft curves and a purity in the use of just a few selected materials helped bring that feeling to life.   #SKDProjects #sakinakaradesign #retaildesign #dubaiinteriordesign #uaeinteriordesign #cafedesign #commercialinteriors","#SKDProjects #sakinakaradesign #retaildesign #dubaiinteriordesign #uaeinteriordesign #cafedesign #commercialinteriors",https://www.instagram.com/p/DKJrXvjpt0O/
sakinakaradesign,Photo,22 Apr 2026,,-1,0,"Architecture   @the_matcha_tokyo JBR   A compact footprint designed with proportion, architecture and brand identity at its core.  The unit is designed as a complete standalone structure with clean geometry with a subtle Japanese influence.   Photography: @dua.photography.studio   #Architecture #MinimalDesign #JapaneseInfluence #DubaiInteriors #DubaiDesign #TheMatchaTokyo #JBR","#Architecture #MinimalDesign #JapaneseInfluence #DubaiInteriors #DubaiDesign #TheMatchaTokyo #JBR",https://www.instagram.com/p/DXcQv91iXxv/
